DATA IN NGS FORMAT FROM DATABASE 19MAY09XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL   0.00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
URUMQI       228310.21500  4631922.76000  4367064.06100 AZEL   0.00000                          
WARK12M    -5115324.43100   477843.30200 -3767192.84400 AZEL   0.00000                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
YEBES40M    4848761.82900  -261484.18700  4123085.04500 AZEL   2.00050                          
$END                                                                                            
0008-264   0 11     1.246738 -26 12    33.377020                                                
0008-421   0 10    52.517915 -41 53    10.778330                                                
0025+197   0 28    29.818482  20  0    26.743960                                                
0048-097   0 50    41.317388 - 9 29     5.210270                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
0227-369   2 29    28.449060 -36 43    56.822150                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0332+078   3 34    53.316682   8  0    14.419090                                                
0332-403   3 34    13.654514 -40  8    25.397840                                                
0346-279   3 48    38.144577 -27 49    13.565550                                                
0403-132   4  5    34.003390 -13  8    13.690710                                                
0442+389   4 46    11.494035  39  0    17.099980                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0556+238   5 59    32.033132  23 53    53.926770                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
0627-199   6 29    23.761865 -19 59    19.723560                                                
0657+172   7  0     1.525536  17  9    21.701490                                                
0707+476   7 10    46.104877  47 32    11.142720                                                
0718+793   7 26    11.735241  79 11    31.016210                                                
0743-006   7 45    54.082321 - 0 44    17.539850                                                
0748+126   7 50    52.045735  12 31     4.828180                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
0821+394   8 24    55.483856  39 16    41.904040                                                
0827+243   8 30    52.086191  24 10    59.820400                                                
0847-120   8 50     9.635633 -12 13    35.376070                                                
0912+029   9 14    37.913432   2 45    59.246940                                                
0925-203   9 27    51.824316 -20 34    51.232400                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
1055+018  10 58    29.605207   1 33    58.823770                                                
1059+282  11  2    14.288458  27 57     8.689520                                                
1144+402  11 46    58.297916  39 58    34.304500                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
1213-172  12 15    46.751761 -17 31    45.402950                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
1251-713  12 54    59.921449 -71 38    18.436670                                                
1255-316  12 57    59.060822 -31 55    16.851730                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
1424+240  14 27     0.391775  23 48     0.037380                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1502+036  15  5     6.477159   3 26    30.812660                                                
1526+670  15 26    42.874208  66 50    54.641910                                                
1538+149  15 40    49.491518  14 47    45.884790                                                
1602-115  16  5    17.531655 -11 39    26.831070                                                
1622-253  16 25    46.891640 -25 27    38.326800                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1656-075  16 58    44.061986 - 7 39    17.694050                                                
1726+455  17 27    27.650805  45 30    39.731340                                                
1749+096  17 51    32.818573   9 39     0.728480                                                
1758-651  18  3    23.496667 -65  7    36.761210                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
1846+322  18 48    22.088581  32 19     2.603740                                                
1849+670  18 49    16.072290  67  5    41.680300                                                
1908-201  19 11     9.652892 -20  6    55.108990                                                
1909+161  19 11    58.257405  16 11    46.865320                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
2008-159  20 11    15.710933 -15 46    40.253670                                                
2052-474  20 56    16.359819 -47 14    47.627650                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
2149+056  21 51    37.875493   5 52    12.954540                                                
2155+312  21 57    28.823889  31 27     1.351770                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
2318+049  23 20    44.856598   5 13    49.952560                                                
2319+317  23 21    54.955991  32  4     7.622540                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
3C274     12 30    49.423382  12 23    28.043780                                                
3C418     20 38    37.034735  51 19    12.662590                                                
3C454.3   22 53    57.747938  16  8    53.560930                                                
NGC6251   16 32    31.969891  82 32    16.399940                                                
NRAO150    3 59    29.747267  50 57    50.161630                                                
NRAO190    4 42    38.660735 - 0 17    43.420530                                                
$END                                                                                            
    8.2209900000e+03           GR PH                                                            
$END                                                                                            
FORTLEZA  HART15M   1144+402 2019 05 09 18 30  30.0000000000                 101                
   -4217507.80467176   0.07589  1037574.8282652971   0.15462 0      I        102                
   0.00013    .00000    .00000    .00000  -4.438499640184908       0.1       103                
  5.224   0.708  0.0234  0.0157  0.0632  0.0001      13038.679               104
   0.01259   0.00000    .00000    .00000    .00000    .00000                 105                
    28.800    11.200  1006.000   867.800    84.500    70.130 0 0             106                
       -0.6650376361   0.04076       -0.2505582239   0.03892  0              108                
FORTLEZA  ISHIOKA   1144+402 2019 05 09 18 30  30.0000000000                 201                
     608790.49874971   0.05862  2034087.5563829897   0.07530 0      I        202                
   0.00013    .00000    .00000    .00000   4.901578346327264       0.1       203                
  5.224   1.195  0.0234 -0.0414  0.0632  0.0497        706.585               204
   0.01259   0.00000    .00000    .00000    .00000    .00000                 205                
    28.800    13.788  1006.000   996.415    84.500    73.094 0 0             206                
       -0.9114571015   0.03548       -0.0877093831   0.02372  0              208                
FORTLEZA  NYALES20  1144+402 2019 05 09 18 30  30.0000000000                 301                
  -11953241.48634703   0.03928  1040672.6387988348   0.05950 0      I        302                
   0.00021    .00000    .00000    .00000  -4.890493204605919       0.1       303                
  5.224   0.118  0.0234  0.0018  0.0632 -0.0009    -719158.322               304
   0.01259  -0.07479    .00000    .00000    .00000    .00000                 305                
    28.800    -2.489  1006.000  1013.705    84.500    55.216 0 0             306                
       -0.7617588116   0.02820       -0.1312763456   0.02425  0              308                
FORTLEZA  URUMQI    1144+402 2019 05 09 18 30  30.0000000000                 401                
  -11567184.76908490   0.08266  1829883.2839098964   0.05305 0      I        402                
   0.00035    .00000    .00000    .00000  -0.998047315382531       0.1       403                
  5.224   0.182  0.0234 -0.0003  0.0632 -0.0043     195841.156               404
   0.01259   0.00000    .00000    .00000    .00000    .00000                 405                
    28.800     6.341  1006.000   795.000    84.500    62.776 0 0             406                
       -0.1319792982   0.03743       -0.1486882800   0.01680  0              408                
FORTLEZA  WETTZ13N  1144+402 2019 05 09 18 30  30.0000000000                 501                
  -15856856.70796387   0.07067   863111.6330787169   0.06959 0      I        502                
   0.00009    .00000    .00000    .00000  -2.284251057556618       0.1       503                
  5.224   0.320  0.0234 -0.0000  0.0632 -0.0006       1206.929               504
   0.01259   0.00000    .00000    .00000    .00000    .00000                 505                
    28.800     8.100  1006.000   933.586    84.500    99.800 0 0             506                
       -0.2136047092   0.03398       -0.0881099371   0.01352  0              508                
FORTLEZA  YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                 601                
  -14467044.56546907   0.10474   597736.6879853377   0.19339 4      I        602                
   0.00016    .00000    .00000    .00000  -2.698297505921198       0.2       603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               604
   0.01259  -0.00356    .00000    .00000    .00000    .00000                 605                
    28.800    16.885  1006.000   908.585    84.500    63.151 0 0             606                
       -6.8843505825   0.06198      -10.3309231531   0.06367  0              608                
HART15M   ISHIOKA   1144+402 2019 05 09 18 30  30.0000000000                 701                
    4826302.48901791   0.01554   996511.9680919409   0.03166 0      I        702                
   0.00061    .00000    .00000    .00000   2.467080794816083       0.0       703                
  0.708   1.195  0.0157 -0.0414  0.0001  0.0497     -12332.094               704
   0.00000   0.00000    .00000    .00000    .00000    .00000                 705                
    11.200    13.788   867.800   996.415    70.130    73.094 0 0             706                
       -0.2061159923   0.01874        0.0308587968   0.02431  0              708                
HART15M   NYALES20  1144+402 2019 05 09 18 30  30.0000000000                 801                
   -7735733.60304217   0.00900     3098.6104695236   0.01834 0      I        802                
   0.00106    .00000    .00000    .00000  -0.850756797079900       0.0       803                
  0.708   0.118  0.0157  0.0018  0.0001 -0.0009    -732197.001               804
   0.00000  -0.07479    .00000    .00000    .00000    .00000                 805                
    11.200    -2.489   867.800  1013.705    70.130    55.216 0 0             806                
       -0.0633910076   0.01349       -0.0152892355   0.01784  0              808                
HART15M   URUMQI    1144+402 2019 05 09 18 30  30.0000000000                 901                
   -7349673.51956204   0.01863   792308.4250853854   0.01567 0      I        902                
   0.00175    .00000    .00000    .00000  -0.853002507669110       0.0       903                
  0.708   0.182  0.0157 -0.0003  0.0001 -0.0043     182802.477               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
    11.200     6.341   867.800   795.000    70.130    62.776 0 0             906                
        0.5621294246   0.00965       -0.0174695089   0.00812  0              908                
HART15M   WETTZ13N  1144+402 2019 05 09 18 30  30.0000000000                1001                
  -11639349.63877709   0.02260  -174462.2472142646   0.04604 0      I       1002                
   0.00042    .00000    .00000    .00000   0.979613979581439       0.0      1003                
  0.708   0.320  0.0157 -0.0000  0.0001 -0.0006     -11831.750              1004
   0.00000   0.00000    .00000    .00000    .00000    .00000                1005                
    11.200     8.100   867.800   933.586    70.130    99.800 0 0            1006                
        0.4682436401   0.01659       -0.0099200351   0.01935  0             1008                
HART15M   YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                1101                
  -10249529.77653657   0.10352  -439835.9088234360   0.21091 4      I       1102                
   0.00017    .00000    .00000    .00000  -3.958685896068602       0.2      1103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1104
   0.00000  -0.00356    .00000    .00000    .00000    .00000                1105                
    11.200    16.885   867.800   908.585    70.130    63.151 0 0            1106                
       -6.9636982480   0.06334        5.1255295028   0.07349  0             1108                
ISHIOKA   NYALES20  1144+402 2019 05 09 18 30  30.0000000000                1201                
  -12562031.28414946   0.00807  -993412.5336438100   0.01223 1      I       1202                
   0.00102    .00000    .00000    .00000  -0.643338559528924       0.0      1203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1204
   0.00000  -0.07479    .00000    .00000    .00000    .00000                1205                
    13.788    -2.489   996.415  1013.705    73.094    55.216 0 0            1206                
        0.1275620728   0.00787        0.0015507041   0.00736  0             1208                
ISHIOKA   URUMQI    1144+402 2019 05 09 18 30  30.0000000000                1301                
  -12175975.13087301   0.01597  -204203.5831969852   0.01025 1      I       1302                
   0.00179    .00000    .00000    .00000  -6.250859325235987       0.0      1303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1304
   0.00000   0.00000    .00000    .00000    .00000    .00000                1305                
    13.788     6.341   996.415   795.000    73.094    62.776 0 0            1306                
        0.7802191775   0.00833       -0.0367665308   0.00542  0             1308                
ISHIOKA   WETTZ13N  1144+402 2019 05 09 18 30  30.0000000000                1401                
  -16465646.50200030   0.01892 -1170973.4528359275   0.02484 1      I       1402                
   0.00040    .00000    .00000    .00000  -2.062067788869050       0.0      1403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1404
   0.00000   0.00000    .00000    .00000    .00000    .00000                1405                
    13.788     8.100   996.415   933.586    73.094    99.800 0 0            1406                
        0.6823323528   0.01408        0.0041235931   0.01065  0             1408                
ISHIOKA   YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                1501                
  -15075928.91304959   0.10534 -1436368.3214895872   0.19449 4      I       1502                
   0.00012    .00000    .00000    .00000  -0.085176388809087       0.2      1503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1504
   0.00000  -0.00356    .00000    .00000    .00000    .00000                1505                
    13.788    16.885   996.415   908.585    73.094    63.151 0 0            1506                
        2.8195616802   0.06390       -2.6813291395   0.06679  0             1508                
NYALES20  URUMQI    1144+402 2019 05 09 18 30  30.0000000000                1601                
     386065.93192113   0.01066   789209.9601605519   0.00684 0      I       1602                
   0.00268    .00000    .00000    .00000   2.685513001108273       0.0      1603                
  0.118   0.182  0.0018 -0.0003 -0.0009 -0.0043     914999.478              1604
  -0.07479   0.00000    .00000    .00000    .00000    .00000                1605                
    -2.489     6.341  1013.705   795.000    55.216    62.776 0 0            1606                
        0.6635995634   0.00587       -0.0164181768   0.00410  0             1608                
NYALES20  WETTZ13N  1144+402 2019 05 09 18 30  30.0000000000                1701                
   -3903617.39558647   0.01255  -177560.5646128381   0.01902 0      I       1702                
   0.00066    .00000    .00000    .00000  -2.025108039786768       0.0      1703                
  0.118   0.320  0.0018 -0.0000 -0.0009 -0.0006     720365.251              1704
  -0.07479   0.00000    .00000    .00000    .00000    .00000                1705                
    -2.489     8.100  1013.705   933.586    55.216    99.800 0 0            1706                
        0.5818000355   0.00964        0.0081156271   0.00849  0             1708                
NYALES20  YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                1801                
   -2513829.28186687   0.09500  -442987.3709699954   0.18107 4      I       1802                
   0.00020    .00000    .00000    .00000  -6.213396638181842       0.2      1803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1804
  -0.07479  -0.00356    .00000    .00000    .00000    .00000                1805                
    -2.489    16.885  1013.705   908.585    55.216    63.151 0 0            1806                
       -0.6254177907   0.06031       -6.1375143004   0.06708  0             1808                
URUMQI    WETTZ13N  1144+402 2019 05 09 18 30  30.0000000000                1901                
   -4289683.29774951   0.02520  -966769.8064013442   0.01618 0      I       1902                
   0.00113    .00000    .00000    .00000  -3.162590347204523       0.0      1903                
  0.182   0.320 -0.0003 -0.0000 -0.0043 -0.0006    -194634.227              1904
   0.00000   0.00000    .00000    .00000    .00000    .00000                1905                
     6.341     8.100   795.000   933.586    62.776    99.800 0 0            1906                
       -0.0435522576   0.01184        0.0299931787   0.00611  0             1908                
URUMQI    YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                2001                
   -2899945.10810268   0.29547 -1232163.2301847059   0.23245 4      I       2002                
   0.00015    .00000    .00000    .00000  -0.914574925229796       0.2      2003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2004
   0.00000  -0.00356    .00000    .00000    .00000    .00000                2005                
     6.341    16.885   795.000   908.585    62.776    63.151 0 0            2006                
        1.5821757238   0.13041       -6.0931140949   0.06907  0             2008                
WETTZ13N  YEBES40M  1144+402 2019 05 09 18 30  30.0000000000                2101                
    1389735.35436568   0.10644  -265389.8994011743   0.20287 4      I       2102                
   0.00013    .00000    .00000    .00000   2.167776642017566       0.2      2103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2104
   0.00000  -0.00356    .00000    .00000    .00000    .00000                2105                
     8.100    16.885   933.586   908.585    99.800    63.151 0 0            2106                
       -1.2568278914   0.06035       -3.8691181044   0.06185  0             2108                
KATH12M   WARK12M   1424-418 2019 05 09 18 30  30.0000000000                2201                
    5429301.26895366   0.01975   -57466.9723345099   0.05303 0      I       2202                
