DATA IN NGS FORMAT FROM DATABASE 19MAY16XE_V005                                                 
Observed delays and rates in card #2, modified errors in card #9                                
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL    .00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL    .00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL    .00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
MATERA      4641938.47400  1393003.32200  4133325.77100 AZEL    .00000                          
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL    .00000                          
YEBES40M    4848761.82900  -261484.18700  4123085.04500 AZEL   2.00050                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL    .00000                          
SVETLOE     2730173.67400  1562442.79400  5529969.14500 AZEL    .00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL    .51820                          
$END                                                                                            
1511-100  15 13    44.893414 -10 12      .264490                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
1657-261  17  0    53.154061 -26 10    51.725350                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
0537-286   5 39    54.281476 -28 39    55.947810                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
1255-316  12 57    59.060822 -31 55    16.851730                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
1149-084  11 52    17.209515 - 8 41     3.313880                                                
1418+546  14 19    46.597402  54 23    14.787190                                                
2355-534  23 57    53.266088 -53 11    13.689360                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1806+456  18  8    21.885888  45 42    20.866450                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
1226+373  12 28    47.423677  37  6    12.095860                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
1749+096  17 51    32.818573   9 39      .728480                                                
2319+317  23 21    54.955991  32  4     7.622540                                                
1104-445  11  7     8.694127 -44 49     7.618460                                                
1954+513  19 55    42.738268  51 31    48.546120                                                
1206-238  12  9     2.445122 -24  6    20.759370                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
1212+171  12 15     3.979139  16 54    37.956850                                                
0442+389   4 46    11.494035  39  0    17.099980                                                
3C286     13 31     8.288050  30 30    32.959220                                                
0119+115   1 21    41.595043  11 49    50.413100                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
0151+474   1 54    56.289888  47 43    26.539570                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
1039+811  10 44    23.062548  80 54    39.443030                                                
1519-273  15 22    37.675989 -27 30    10.785420                                                
4C39.25    9 27     3.013936  39  2    20.851840                                                
3C371     18  6    50.680649  69 49    28.108530                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
0748+126   7 50    52.045735  12 31     4.828180                                                
0229+131   2 31    45.894054  13 22    54.716270                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
0307+380   3 10    49.879930  38 14    53.837870                                                
1936-155  19 39    26.657747 -15 25    43.058420                                                
1736+324  17 38    40.501824  32 24     9.025670                                                
0544+273   5 47    34.148921  27 21    56.842570                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2318+049  23 20    44.856598   5 13    49.952560                                                
1615+029  16 17    49.908115   2 46    43.104800                                                
0256-005   2 59    28.516160 - 0 19    59.975320                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
0420-014   4 23    15.800728 - 1 20    33.065400                                                
0048-097   0 50    41.317388 - 9 29     5.210270                                                
0743+277   7 46    40.432312  27 34    59.047110                                                
1334-127  13 37    39.782778 -12 57    24.693260                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
