DATA IN NGS FORMAT FROM DATABASE 19FEB25XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
MATERA      4641938.47400  1393003.32200  4133325.77100 AZEL   0.00000                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
SEJONG     -3110079.96000  4082066.73400  3775076.83200 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
$END                                                                                            
0104-408   1  6    45.107969 -40 34    19.960230                                                
0110+495   1 13    27.006803  49 48    24.043170                                                
0119+041   1 21    56.861699   4 22    24.734330                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0414-189   4 16    36.544451 -18 51     8.340030                                                
0422-380   4 24    42.243708 -37 56    20.784190                                                
0446+112   4 49     7.671101  11 21    28.596460                                                
0458-020   5  1    12.809884 - 1 59    14.256250                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0536+145   5 39    42.365991  14 33    45.561700                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0552+398   5 55    30.805612  39 48    49.164970                                                
0613+570   6 17    16.922558  57  1    16.423250                                                
0627-199   6 29    23.761865 -19 59    19.723560                                                
0718+793   7 26    11.735241  79 11    31.016210                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
0748+126   7 50    52.045735  12 31     4.828180                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
0805+410   8  8    56.652039  40 52    44.888860                                                
0823+033   8 25    50.338354   3  9    24.520070                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
0955+326   9 58    20.949631  32 24     2.209540                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
1040+244  10 43     9.035776  24  8    35.409440                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1104-445  11  7     8.694127 -44 49     7.618460                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
1149-084  11 52    17.209515 - 8 41     3.313880                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
1255-316  12 57    59.060822 -31 55    16.851730                                                
1300+580  13  2    52.465276  57 48    37.609320                                                
1334-127  13 37    39.782778 -12 57    24.693260                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1502+036  15  5     6.477159   3 26    30.812660                                                
1504+377  15  6     9.529968  37 30    51.132500                                                
1617+229  16 19    14.824611  22 47    47.851080                                                
1657-261  17  0    53.154061 -26 10    51.725350                                                
1738+499  17 39    27.390493  49 55     3.368440                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1743+173  17 45    35.208171  17 20     1.423690                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
1921-293  19 24    51.055955 -29 14    30.121050                                                
1923+210  19 25    59.605356  21  6    26.162030                                                
1947+079  19 50     5.539919   8  7    13.980890                                                
