DATA IN NGS FORMAT FROM DATABASE 19JAN28XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL   0.00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
ONSALA60    3370605.80200   711917.72000  5349830.90300 AZEL   0.00000                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
$END                                                                                            
0054+161   0 56    55.294330  16 25    13.341020                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0133+476   1 36    58.594806  47 51    29.100040                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
0237+040   2 39    51.263051   4 16    21.411760                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0322+222   3 25    36.814352  22 24     0.365590                                                
0400-319   4  2    21.266006 -31 47    25.945450                                                
0403-132   4  5    34.003390 -13  8    13.690710                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
0552+398   5 55    30.805612  39 48    49.164970                                                
0606-223   6  8    59.686844 -22 20    20.956650                                                
0646-306   6 48    14.096471 -30 44    19.659680                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
0718+793   7 26    11.735241  79 11    31.016210                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
0729+259   7 32    56.275265  25 48    38.795560                                                
0738+491   7 42     2.748947  49  0    15.608930                                                
0748+126   7 50    52.045735  12 31     4.828180                                                
0808+019   8 11    26.707312   1 46    52.220260                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
0859+681   9  3    53.155073  67 57    22.685910                                                
1034-293  10 37    16.079735 -29 34     2.813330                                                
1040+244  10 43     9.035776  24  8    35.409440                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
1255-316  12 57    59.060822 -31 55    16.851730                                                
1300+580  13  2    52.465276  57 48    37.609320                                                
1324+224  13 27     0.861314  22 10    50.162970                                                
1351-018  13 54     6.895322 - 2  6     3.190440                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1502+036  15  5     6.477159   3 26    30.812660                                                
1511-100  15 13    44.893414 -10 12     0.264490                                                
1520+319  15 22     9.991732  31 44    14.381950                                                
1538+149  15 40    49.491518  14 47    45.884790                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1639-062  16 42     2.177717 - 6 21    23.694970                                                
1657-261  17  0    53.154061 -26 10    51.725350                                                
1739+522  17 40    36.977849  52 11    43.407410                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1754+159  17 56    33.725608  15 53    43.833270                                                
1849+670  18 49    16.072290  67  5    41.680300                                                
1921-293  19 24    51.055955 -29 14    30.121050                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
2008-159  20 11    15.710933 -15 46    40.253670                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
2126-158  21 29    12.175898 -15 38    41.041310                                                
2149+056  21 51    37.875493   5 52    12.954540                                                
2150+173  21 52    24.819400  17 34    37.795060                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2353-686  23 56     0.681406 -68 20     3.471710                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
3C274     12 30    49.423382  12 23    28.043780                                                
3C418     20 38    37.034735  51 19    12.662590                                                
3C446     22 25    47.259293 - 4 57     1.390760                                                
NGC6251   16 32    31.969891  82 32    16.399940                                                
NRAO150    3 59    29.747267  50 57    50.161630                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
$END                                                                                            
    8.2129900000e+03           GR PH                                                            
$END                                                                                            
FORTLEZA  KOKEE     1741-038 2019 01 28 17 00  21.0000000000                 101                
   -9347819.54255975   0.04054 -2492477.5285858260   0.12196 0      I        102                
   0.00029    .00000    .00000    .00000  -5.908932877087405       0.1       103                
  3.950   0.172 -0.0060 -0.0046  0.0872  0.0024       8071.648               104
  -0.02950  -0.02989    .00000    .00000    .00000    .00000                 105                
    30.300     9.100  1007.500   886.682    66.630    84.918 0 0             106                
       -0.7616840856   0.01825        0.0558365571   0.02067  0              108                
HART15M   ISHIOKA   0748+126 2019 01 28 17 00  36.0000000000                 201                
   -9388443.29577285   0.10373  2126052.5762902927   0.17416 2      I        202                
   0.00009    .00000    .00000    .00000  -0.223804085171746       0.2       203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               204
   0.00000   0.00000    .00000    .00000    .00000    .00000                 205                
    21.144     3.330   864.486   995.868    68.486    75.195 0 0             206                
        0.5754356755   0.04345        2.6030778632   0.01930  0              208                
HART15M   KATH12M   0748+126 2019 01 28 17 00  36.0000000000                 301                
   -9777612.05418776   0.05279  2143014.9322429039   0.03700 0      I        302                
   0.00011    .00000    .00000    .00000  -0.600049808116067       0.1       303                
  1.861   1.564  0.0164 -0.0006  0.0755 -0.0033      -2599.060               304
   0.00000   0.00000    .00000    .00000    .00000    .00000                 305                
    21.144    26.587   864.486   989.137    68.486    82.987 0 0             306                
       -0.6292709776   0.02496       -0.0506687803   0.00679  0              308                
HART15M   NYALES20  0748+126 2019 01 28 17 00  36.0000000000                 401                
      58185.98279144   0.01552   970146.5667967319   0.01104 8      I        402                
   0.00036    .00000    .00000    .00000   0.172591780370388       0.0       403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               404
   0.00000  -0.03781    .00000    .00000    .00000    .00000                 405                
    21.144    -9.440   864.486  1009.200    68.486    69.116 0 0             406                
        0.0000000000   0.00000        0.0000000000   0.00000  0              408                
HART15M   ONSALA60  0748+126 2019 01 28 17 00  36.0000000000                 501                
     -29776.72820124   0.07939   447472.7108061474   0.06065 8      I        502                
   0.00007    .00000    .00000    .00000  -1.410109841893058       0.1       503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               504
   0.00000  -0.00534    .00000    .00000    .00000    .00000                 505                
    21.144     0.400   864.486   988.500    68.486    88.855 0 0             506                
        0.0000000000   0.00000        0.0000000000   0.00000  0              508                
HART15M   WETTZ13N  0748+126 2019 01 28 17 00  36.0000000000                 601                
    -119054.53289189   0.00743   276006.1640771484   0.00521 8      I        602                
   0.00075    .00000    .00000    .00000   2.021049382285486       0.0       603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               604
   0.00000   0.00000    .00000    .00000    .00000    .00000                 605                
    21.144    -0.786   864.486   925.900    68.486    98.185 0 0             606                
        0.0000000000   0.00000        0.0000000000   0.00000  0              608                
HART15M   WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                 701                
    -121581.56444894   0.00647   276027.7418315196   0.00453 8      I        702                
   0.00087    .00000    .00000    .00000   2.024408161052295       0.0       703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               704
   0.00000  -0.00379    .00000    .00000    .00000    .00000                 705                
    21.144    -0.786   864.486   925.900    68.486    97.929 0 0             706                
        0.0000000000   0.00000        0.0000000000   0.00000  0              708                
HART15M   YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                 801                
   -9670627.80466148   0.03331  1717195.2234100767   0.02334 8      I        802                
   0.00017    .00000    .00000    .00000  -3.869501158535701       0.1       803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               804
   0.00000   0.00000    .00000    .00000    .00000    .00000                 805                
    21.144    25.058   864.486   977.708    68.486    20.258 0 0             806                
        0.0000000000   0.00000        0.0000000000   0.00000  0              808                
ISHIOKA   KATH12M   0748+126 2019 01 28 17 00  36.0000000000                 901                
    -389182.82352992   0.01645    16928.1858657922   0.02730 0      I        902                
   0.00052    .00000    .00000    .00000  -3.214312663999388       0.0       903                
  0.168   1.564  0.0007 -0.0006  0.0016 -0.0033       2053.524               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
     3.330    26.587   995.868   989.137    75.195    82.987 0 0             906                
       -0.0945095562   0.01619        0.0157055401   0.01658  0              908                
ISHIOKA   NYALES20  0748+126 2019 01 28 17 00  36.0000000000                1001                
    9446604.33792667   0.01180 -1155938.6729106454   0.01958 0      I       1002                
   0.00073    .00000    .00000    .00000   2.082936052854802       0.0      1003                
  0.168   0.080  0.0007 -0.0087  0.0016  0.0668    -147917.871              1004
   0.00000  -0.03781    .00000    .00000    .00000    .00000                1005                
     3.330    -9.440   995.868  1009.200    75.195    69.116 0 0            1006                
        0.1270170382   0.00925        0.0478440053   0.00897  0             1008                
ISHIOKA   ONSALA60  0748+126 2019 01 28 17 00  36.0000000000                1101                
    9358613.42307352   0.10373 -1678680.5476104445   0.17216 2      I       1102                
   0.00012    .00000    .00000    .00000   5.380731093861013       0.2      1103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1104
   0.00000  -0.00534    .00000    .00000    .00000    .00000                1105                
     3.330     0.400   995.868   988.500    75.195    88.855 0 0            1106                
        3.0354073710   0.04621        5.2620328092   0.02611  0             1108                
ISHIOKA   WETTZ13N  0748+126 2019 01 28 17 00  36.0000000000                1201                
    9269357.19705018   0.02467 -1850077.5069638574   0.04094 0      I       1202                
   0.00035    .00000    .00000    .00000   0.116757767556658       0.0      1203                
  0.168   0.619  0.0007  0.0075  0.0016  0.0214        583.966              1204
   0.00000   0.00000    .00000    .00000    .00000    .00000                1205                
     3.330    -0.786   995.868   925.900    75.195    98.185 0 0            1206                
        0.7929147403   0.01426        0.0235522310   0.01187  0             1208                
ISHIOKA   WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                1301                
    9266830.17520796   0.02071 -1850055.8919539910   0.03437 0      I       1302                
   0.00042    .00000    .00000    .00000   0.178538868755887       0.0      1303                
  0.168   0.495  0.0007  0.0015  0.0016  0.0400      -1985.894              1304
   0.00000  -0.00379    .00000    .00000    .00000    .00000                1305                
     3.330    -0.786   995.868   925.900    75.195    97.929 0 0            1306                
        1.2870491566   0.01171        0.0166584962   0.00957  0             1308                
ISHIOKA   YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                1401                
    -282202.45532718   0.02462  -408890.7419677707   0.04134 0      I       1402                
   0.00035    .00000    .00000    .00000   1.150167210005912       0.0      1403                
  0.168   0.570  0.0007  0.0039  0.0016  0.0006       7389.828              1404
   0.00000   0.00000    .00000    .00000    .00000    .00000                1405                
     3.330    25.058   995.868   977.708    75.195    20.258 0 0            1406                
        0.0314080368   0.01700        0.0164794719   0.01590  0             1408                
KATH12M   NYALES20  0748+126 2019 01 28 17 00  36.0000000000                1501                
    9835786.67608539   0.01066 -1172866.6296872327   0.00755 0      I       1502                
   0.00053    .00000    .00000    .00000   0.388123038576668       0.0      1503                
  1.564   0.080 -0.0006 -0.0087 -0.0033  0.0668    -149971.395              1504
   0.00000  -0.03781    .00000    .00000    .00000    .00000                1505                
    26.587    -9.440   989.137  1009.200    82.987    69.116 0 0            1506                
        0.2041180380   0.01078        0.0436293874   0.00473  0             1508                
KATH12M   ONSALA60  0748+126 2019 01 28 17 00  36.0000000000                1601                
    9747832.11751028   0.09603 -1695552.9139678222   0.07297 2      I       1602                
   0.00006    .00000    .00000    .00000   4.134555195503037       0.2      1603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1604
   0.00000  -0.00534    .00000    .00000    .00000    .00000                1605                
    26.587     0.400   989.137   988.500    82.987    88.855 0 0            1606                
        0.2853083520   0.04362        1.0171602209   0.01197  0             1608                
KATH12M   WETTZ13N  0748+126 2019 01 28 17 00  36.0000000000                1701                
    9658539.30954813   0.01310 -1867005.4457227034   0.00778 0      I       1702                
   0.00039    .00000    .00000    .00000   3.383175985554151       0.0      1703                
  1.564   0.619 -0.0006  0.0075 -0.0033  0.0214      -1469.558              1704
   0.00000   0.00000    .00000    .00000    .00000    .00000                1705                
    26.587    -0.786   989.137   925.900    82.987    98.185 0 0            1706                
        0.8953348010   0.01084        0.0031305173   0.00382  0             1708                
KATH12M   WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                1801                
    9656012.30315184   0.01207 -1866983.8648241761   0.00792 0      I       1802                
   0.00045    .00000    .00000    .00000   3.296057328394934       0.0      1803                
  1.564   0.495 -0.0006  0.0015 -0.0033  0.0400      -4039.418              1804
   0.00000  -0.00379    .00000    .00000    .00000    .00000                1805                
    26.587    -0.786   989.137   925.900    82.987    97.929 0 0            1806                
        1.3578068477   0.00931        0.0055780812   0.00355  0             1808                
KATH12M   YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                1901                
     106980.18886890   0.01429  -425818.6665781910   0.00569 0      I       1902                
   0.00029    .00000    .00000    .00000   1.853570371865347       0.0      1903                
  1.564   0.570 -0.0006  0.0039 -0.0033  0.0006       5336.304              1904
   0.00000   0.00000    .00000    .00000    .00000    .00000                1905                
    26.587    25.058   989.137   977.708    82.987    20.258 0 0            1906                
        0.1153318213   0.01098        0.0077962094   0.00254  0             1908                
NYALES20  ONSALA60  0748+126 2019 01 28 17 00  36.0000000000                2001                
     -87962.67591120   0.05009  -522673.4914876265   0.03806 0      I       2002                
   0.00012    .00000    .00000    .00000  -1.870445758428743       0.1      2003                
  0.080   0.759 -0.0087  0.0010  0.0668  0.0155     126197.334              2004
  -0.03781  -0.00534    .00000    .00000    .00000    .00000                2005                
    -9.440     0.400  1009.200   988.500    69.116    88.855 0 0            2006                
        1.1142946842   0.02113       -0.0447886083   0.00450  0             2008                
NYALES20  WETTZ13N  0748+126 2019 01 28 17 00  36.0000000000                2101                
    -177240.40641429   0.00484  -694139.7132912201   0.00343 0      I       2102                
   0.00116    .00000    .00000    .00000  -3.420749726425752       0.0      2103                
  0.080   0.619 -0.0087  0.0075  0.0668  0.0214     148501.837              2104
  -0.03781   0.00000    .00000    .00000    .00000    .00000                2105                
    -9.440    -0.786  1009.200   925.900    69.116    98.185 0 0            2106                
        0.6687882993   0.00433       -0.0473373349   0.00186  0             2108                
NYALES20  WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                2201                
    -179767.44308838   0.00403  -694118.1469836453   0.00285 0      I       2202                
   0.00140    .00000    .00000    .00000  -3.361844065222616       0.0      2203                
  0.080   0.495 -0.0087  0.0015  0.0668  0.0400     145931.977              2204
  -0.03781  -0.00379    .00000    .00000    .00000    .00000                2205                
    -9.440    -0.786  1009.200   925.900    69.116    97.929 0 0            2206                
        1.1594243517   0.00371       -0.0503560001   0.00160  0             2208                
NYALES20  YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                2301                
   -9728813.96521589   0.01251   747047.9098646360   0.00890 0      I       2302                
   0.00045    .00000    .00000    .00000  -0.164961590820715       0.0      2303                
  0.080   0.570 -0.0087  0.0039  0.0668  0.0006     155307.699              2304
  -0.03781   0.00000    .00000    .00000    .00000    .00000                2305                
    -9.440    25.058  1009.200   977.708    69.116    20.258 0 0            2306                
       -0.0573366732   0.01296       -0.0617675626   0.00574  0             2308                
ONSALA60  WETTZ13N  0748+126 2019 01 28 17 00  36.0000000000                2401                
     -89277.73174014   0.04278  -171466.3918323596   0.03251 0      I       2402                
