DATA IN NGS FORMAT FROM DATABASE 19JAN02XA_V002                                                 
Observed delays and rates in card #2                                                            
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
ONSALA60    3370605.80200   711917.72000  5349830.90300 AZEL   0.00000                          
SEJONG     -3110079.96000  4082066.73400  3775076.83200 AZEL   0.00000                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
$END                                                                                            
0025+197   0 28  29.818482  20  0  26.743960                                                    
0059+581   1  2  45.762382  58 24  11.136600                                                    
0104-408   1  6  45.107969 -41 25  40.039770                                                    
0119+041   1 21  56.861699   4 22  24.734330                                                    
0131-522   1 33   5.762556 -53 59  56.054280                                                    
0202+319   2  5   4.925360  32 12  30.095450                                                    
0229+131   2 31  45.894054  13 22  54.716270                                                    
0308-611   3  9  56.099154 -61  1  20.943850                                                    
0322+222   3 25  36.814352  22 24   0.365590                                                    
0346-279   3 48  38.144577 -28 10  46.434450                                                    
0420-014   4 23  15.800728 - 2 39  26.934600                                                    
0507+179   5 10   2.369130  18  0  41.581650                                                    
0529+483   5 33  15.865783  48 22  52.807660                                                    
0530-727   5 29  30.042180 -73 14  31.492740                                                    
0537-286   5 39  54.281476 -29 20   4.052190                                                    
0716+714   7 21  53.448463  71 20  36.363430                                                    
0727-115   7 30  19.112474 -12 18  47.399490                                                    
0748+126   7 50  52.045735  12 31   4.828180                                                    
0823+033   8 25  50.338354   3  9  24.520070                                                    
0919-260   9 21  29.353855 -27 41  16.613780                                                    
0955+476   9 58  19.671639  47 25   7.842430                                                    
1034-293  10 37  16.079735 -30 25  57.186670                                                    
1053+704  10 56  53.617499  70 11  45.915610                                                    
1057-797  10 58  43.309755 -81 56   5.840260                                                    
1124-186  11 27   4.392450 -19  2  42.558340                                                    
1128+385  11 30  53.282612  38 15  18.546990                                                    
1144-379  11 47   1.370702 -39 47  48.976580                                                    
1145-071  11 47  51.554029 - 8 35  18.858910                                                    
1243-072  12 46   4.232104 - 8 29  13.425450                                                    
1252+119  12 54  38.255612  11 41   5.895180                                                    
1300+580  13  2  52.465276  57 48  37.609320                                                    
1324+224  13 27   0.861314  22 10  50.162970                                                    
1334-127  13 37  39.782778 -13  2  35.306740                                                    
1424-418  14 27  56.297565 -43 53  40.562400                                                    
1502+036  15  5   6.477159   3 26  30.812660                                                    
1504+377  15  6   9.529968  37 30  51.132500                                                    
1519-273  15 22  37.675989 -28 29  49.214580                                                    
1617+229  16 19  14.824611  22 47  47.851080                                                    
1636+473  16 37  45.130559  47 17  33.831110                                                    
1657-261  17  0  53.154061 -27 49   8.274650                                                    
1741-038  17 43  58.856134 - 4  9  55.383350                                                    
1751+288  17 53  42.473644  28 48   4.938880                                                    
1759-396  18  2  42.680059 -40 19  52.091870                                                    
1806+456  18  8  21.885888  45 42  20.866450                                                    
1842+681  18 42  33.641689  68  9  25.227780                                                    
1846+322  18 48  22.088581  32 19   2.603740                                                    
1909+161  19 11  58.257405  16 11  46.865320                                                    
1921-293  19 24  51.055955 -30 45  29.878950                                                    
1954-388  19 57  59.819275 -39 14  53.644240                                                    
2000+472  20  2  10.418256  47 25  28.773720                                                    
2008-159  20 11  15.710933 -16 13  19.746330                                                    
2052-474  20 56  16.359819 -48 45  12.372350                                                    
2059+034  21  1  38.834164   3 41  31.320960                                                    
2126-158  21 29  12.175898 -16 21  18.958690                                                    
2144+092  21 47  10.162967   9 29  46.672310                                                    
2229+695  22 30  36.469705  69 46  28.076900                                                    
2232-488  22 35  13.236577 -49 24   1.205500                                                    
2255-282  22 58   5.962885 -28  1  38.743260                                                    
2302+232  23  4  36.436406  23 31   7.611020                                                    
2309+454  23 11  47.408974  45 43  56.016490                                                    
2318+049  23 20  44.856598   5 13  49.952560                                                    
2355-106  23 58  10.882408 -11 39  51.388680                                                    
3C446     22 25  47.259293 - 5  2  58.609240                                                    
NGC1052    2 41   4.798502 - 9 44  39.248210                                                    
NRAO150    3 59  29.747267  50 57  50.161630                                                    
OJ287      8 54  48.874927  20  6  30.640890                                                    
OK290      9 56  49.875376  25 15  16.049910                                                    
$END                                                                                            
8.2129900000e+03            GR PH                                                               
$END                                                                                            
ISHIOKA   KATH12M   0955+476 2019 01 02 17 00  54.0000000000                 101                
   11338023.33913218   0.02788  -173851.3771816865   0.02249 0      I        102                
   0.00022    .00000    .00000    .00000   5.813307817090366       0.0       103                
  0.059   2.211  0.0001  0.0013 -0.0004 -0.0007       6701.718               104
   0.00000   0.00000    .00000    .00000    .00000    .00000                 105                
     1.761    27.225  1007.528   990.293    63.361    81.075 0 0             106                
       -0.0935181424   0.02152             0.01324   0.01010  0              108                
ISHIOKA   KOKEE     0955+476 2019 01 02 17 00  54.0000000000                 201                
    5726847.52165892   0.01196   903598.0031762101   0.00965 0      I        202                
   0.00050    .00000    .00000    .00000   2.757679074011131       0.0       203                
  0.059   0.108  0.0001 -0.0018 -0.0004  0.0011      18194.913               204
   0.00000  -0.16611    .00000    .00000    .00000    .00000                 205                
     1.761    11.914  1007.528   888.714    63.361    91.886 0 0             206                
        0.1481716682   0.00712            -0.00583   0.00294  0              208                
ISHIOKA   NYALES20  0955+476 2019 01 02 17 00  54.0000000000                 301                
    7267124.76941831   0.00975    54207.9191299956   0.01075 0      I        302                
   0.00072    .00000    .00000    .00000   0.750654963290438       0.0       303                
  0.059   0.181  0.0001  0.0034 -0.0004 -0.0039    -308197.026               304
   0.00000  -0.00862    .00000    .00000    .00000    .00000                 305                
     1.761   -10.527  1007.528  1006.000    63.361    76.403 0 0             306                
        0.0985459243   0.00874             0.00266   0.00583  0              308                
ISHIOKA   ONSALA60  0955+476 2019 01 02 17 00  54.0000000000                 401                
   13453551.38725654   0.01020  -177437.3808222928   0.00823 0      I        402                
   0.00059    .00000    .00000    .00000   2.562786015961934       0.0       403                
  0.059   0.250  0.0001  0.0259 -0.0004 -0.0103     -41573.218               404
   0.00000  -0.01774    .00000    .00000    .00000    .00000                 405                
     1.761     2.579  1007.528  1030.500    63.361    48.684 0 0             406                
        1.1565664915   0.01198            -0.00148   0.00612  0              408                
ISHIOKA   SEJONG    0955+476 2019 01 02 17 00  54.0000000000                 501                
     790295.80960514   0.00742  -179386.4935792137   0.00599 0      I        502                
   0.00081    .00000    .00000    .00000   5.141492941552579       0.0       503                
  0.059   0.159  0.0001 -0.0013 -0.0004  0.0002     -59973.889               504
   0.00000   0.00000    .00000    .00000    .00000    .00000                 505                
     1.761    -5.300  1007.528  1004.800    63.361    78.545 0 0             506                
        0.9589777729   0.05133            -0.00239   0.00889  0              508                
ISHIOKA   WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                 601                
   16006277.39298593   0.00844  -263090.6336737951   0.00681 0      I        602                
   0.00071    .00000    .00000    .00000   6.110469723108023       0.0       603                
  0.059   0.256  0.0001  0.0393 -0.0004 -0.0139        985.200               604
   0.00000   0.00000    .00000    .00000    .00000    .00000                 605                
     1.761    -2.877  1007.528   954.323    63.361    89.832 0 0             606                
        0.6984140946   0.00901            -0.00193   0.00454  0              608                
ISHIOKA   YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                 701                
   18082828.33254493   0.01443  -374820.4838276027   0.01164 0      I        702                
   0.00042    .00000    .00000    .00000   5.731901906785478       0.0       703                
  0.059   2.101  0.0001  0.0465 -0.0004 -0.0828      12733.185               704
   0.00000   0.00000    .00000    .00000    .00000    .00000                 705                
     1.761    14.484  1007.528   980.300    63.361    50.000 0 0             706                
        0.0275408860   0.01346            -0.00356   0.00663  0              708                
KATH12M   KOKEE     0955+476 2019 01 02 17 00  54.0000000000                 801                
   -5611188.03316482   0.03161  1077449.7823122900   0.01590 0      I        802                
   0.00015    .00000    .00000    .00000  -5.117350853638793       0.1       803                
  2.211   0.108  0.0013 -0.0018 -0.0007  0.0011      11493.195               804
   0.00000  -0.16611    .00000    .00000    .00000    .00000                 805                
    27.225    11.914   990.293   888.714    81.075    91.886 0 0             806                
        0.2515294182   0.01505            -0.00748   0.00301  0              808                
KATH12M   NYALES20  0955+476 2019 01 02 17 00  54.0000000000                 901                
   -4070901.22080037   0.03999   228060.3068987081   0.04407 0      I        902                
   0.00018    .00000    .00000    .00000  -0.011178700859094       0.1       903                
  2.211   0.181  0.0013  0.0034 -0.0007 -0.0039    -314898.744               904
   0.00000  -0.00862    .00000    .00000    .00000    .00000                 905                
    27.225   -10.527   990.293  1006.000    81.075    76.403 0 0             906                
        0.1526278925   0.02441             0.02331   0.01405  0              908                
KATH12M   ONSALA60  0955+476 2019 01 02 17 00  54.0000000000                1001                
    2115528.07612340   0.03066    -3584.8301673519   0.01542 0      I       1002                
   0.00015    .00000    .00000    .00000   4.732314751660662       0.1      1003                
  2.211   0.250  0.0013  0.0259 -0.0007 -0.0103     -48274.936              1004
   0.00000  -0.01774    .00000    .00000    .00000    .00000                1005                
    27.225     2.579   990.293  1030.500    81.075    48.684 0 0            1006                
        1.2617007064   0.02474             0.00014   0.00734  0             1008                
KATH12M   SEJONG    0955+476 2019 01 02 17 00  54.0000000000                1101                
  -10547727.49142794   0.01949    -5534.9540869406   0.00998 0      I       1102                
   0.00025    .00000    .00000    .00000  -3.960722681670294       0.0      1103                
  2.211   0.159  0.0013 -0.0013 -0.0007  0.0002     -66675.607              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
    27.225    -5.300   990.293  1004.800    81.075    78.545 0 0            1106                
        0.9476393370   0.09365            -0.00448   0.01029  0             1108                
KATH12M   WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                1201                
    4668254.98287124   0.02972   -89238.0588281869   0.01834 0      I       1202                
   0.00018    .00000    .00000    .00000   2.089154800316246       0.1      1203                
  2.211   0.256  0.0013  0.0393 -0.0007 -0.0139      -5716.518              1204
   0.00000   0.00000    .00000    .00000    .00000    .00000                1205                
    27.225    -2.877   990.293   954.323    81.075    89.832 0 0            1206                
        0.8185697133   0.02014            -0.02009   0.00686  0             1208                
KATH12M   YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                1301                
    6744807.24880282   0.03652  -200969.0097624294   0.01953 0      I       1302                
   0.00013    .00000    .00000    .00000   4.344445312598797       0.1      1303                
  2.211   2.101  0.0013  0.0465 -0.0007 -0.0828       6031.467              1304
   0.00000   0.00000    .00000    .00000    .00000    .00000                1305                
    27.225    14.484   990.293   980.300    81.075    50.000 0 0            1306                
        0.1214688515   0.02354            -0.00131   0.00678  0             1308                
KOKEE     NYALES20  0955+476 2019 01 02 17 00  54.0000000000                1401                
    1540282.13982082   0.01211  -849388.9910967116   0.01335 0      I       1402                
   0.00058    .00000    .00000    .00000   3.510263630669387       0.0      1403                
  0.108   0.181 -0.0018  0.0034  0.0011 -0.0039    -326391.938              1404
  -0.16611  -0.00862    .00000    .00000    .00000    .00000                1405                
    11.914   -10.527   888.714  1006.000    91.886    76.403 0 0            1406                
       -0.0669834351   0.00767             0.01198   0.00450  0             1408                
KOKEE     ONSALA60  0955+476 2019 01 02 17 00  54.0000000000                1501                
    7726710.06308780   0.01082 -1081033.9546347866   0.00521 0      I       1502                
   0.00043    .00000    .00000    .00000   4.695690427717675       0.0      1503                
  0.108   0.250 -0.0018  0.0259  0.0011 -0.0103     -59768.131              1504
  -0.16611  -0.01774    .00000    .00000    .00000    .00000                1505                
    11.914     2.579   888.714  1030.500    91.886    48.684 0 0            1506                
        0.9890157382   0.00752             0.00927   0.00202  0             1508                
KOKEE     SEJONG    0955+476 2019 01 02 17 00  54.0000000000                1601                
   -4936545.52379943   0.00710 -1082983.5565229815   0.00364 0      I       1602                
   0.00067    .00000    .00000    .00000  -4.875438887595919       0.0      1603                
  0.108   0.159 -0.0018 -0.0013  0.0011  0.0002     -78168.802              1604
  -0.16611   0.00000    .00000    .00000    .00000    .00000                1605                
    11.914    -5.300   888.714  1004.800    91.886    78.545 0 0            1606                
        0.8052400082   0.02286             0.00582   0.00251  0             1608                
KOKEE     WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                1701                
   10279436.55174316   0.01099 -1166687.0791072291   0.00678 0      I       1702                
   0.00048    .00000    .00000    .00000   2.092885489529284       0.0      1703                
