DATA IN NGS FORMAT FROM DATABASE 19MAY02XE_V005                                                 
Observed delays and rates in card #2, modified errors in card #9                                
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL    .00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL    .00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL    .00000                          
MEDICINA    4461369.69800   919597.12500  4449559.38400 AZEL   1.82800                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL    .00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL    .52050                          
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL    .00000                          
WARK12M    -5115324.43100   477843.30200 -3767192.84400 AZEL    .00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL    .00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL    .51820                          
$END                                                                                            
1502+106  15  4    24.979781  10 29    39.198620                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
0039+568   0 42    19.451696  57  8    36.586210                                                
2121+053  21 23    44.517403   5 35    22.093050                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1156+295  11 59    31.833910  29 14    43.826870                                                
1623+578  16 24    24.807567  57 41    16.280930                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
0716+714   7 21    53.448463  71 20    36.363430                                                
1803+784  18  0    45.683916  78 28     4.018450                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2013+163  20 16    13.860035  16 32    34.113030                                                
0727-115   7 30    19.112474 -11 41    12.600510                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
1334-127  13 37    39.782778 -12 57    24.693260                                                
1145-071  11 47    51.554029 - 7 24    41.141090                                                
0019+058   0 22    32.441209   6  8     4.269080                                                
0958+346  10  1    11.949212  34 24    50.459250                                                
1324+224  13 27      .861314  22 10    50.162970                                                
1749+096  17 51    32.818573   9 39      .728480                                                
1639-062  16 42     2.177717 - 6 21    23.694970                                                
0912+029   9 14    37.913432   2 45    59.246940                                                
0202+319   2  5     4.925360  32 12    30.095450                                                
0723+219   7 26    14.260738  21 53    20.114080                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
0834+250   8 37    40.245687  24 54    23.121700                                                
1936-155  19 39    26.657747 -15 25    43.058420                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
1100+122  11  3     3.529836  11 58    16.624240                                                
1540-828  15 50    59.140307 -82 58     6.838200                                                
1144-379  11 47     1.370702 -38 12    11.023420                                                
1124-186  11 27     4.392450 -18 57    17.441660                                                
1846+322  18 48    22.088581  32 19     2.603740                                                
NRAO150    3 59    29.747267  50 57    50.161630                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
1040+244  10 43     9.035776  24  8    35.409440                                                
1739+522  17 40    36.977849  52 11    43.407410                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
0613+570   6 17    16.922558  57  1    16.423250                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
0804+499   8  8    39.666284  49 50    36.530400                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
0925-203   9 27    51.824316 -20 34    51.232400                                                
2335-027  23 37    57.339072 - 2 30    57.629290                                                
3C274     12 30    49.423382  12 23    28.043780                                                
3C418     20 38    37.034735  51 19    12.662590                                                
NRAO512   16 40    29.632772  39 46    46.028500                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
0823+033   8 25    50.338354   3  9    24.520070                                                
1244-255  12 46    46.802035 -25 47    49.288790                                                
1519-273  15 22    37.675989 -27 30    10.785420                                                
0458-020   5  1    12.809884 - 1 59    14.256250                                                
