DATA IN NGS FORMAT FROM DATABASE 19FEB14XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
BADARY      -838201.06800  3865751.56500  4987670.89100 AZEL   0.00000                          
FORTLEZA    4985370.00600 -3955020.38800  -428472.08800 AZEL   0.00000                          
HART15M     5085490.79900  2668161.49900 -2768692.61600 AZEL   1.49100                          
ISHIOKA    -3959636.01800  3296825.53900  3747042.56200 AZEL   0.00000                          
KATH12M    -4147354.64900  4581542.39900 -1573303.22400 AZEL   0.00000                          
KOKEE      -5543837.77300 -2054566.84900  2387852.45800 AZEL   0.51820                          
NYALES20    1202462.52700   252734.52100  6237766.20500 AZEL   0.52050                          
SVETLOE     2730173.67400  1562442.79400  5529969.14500 AZEL   0.00000                          
WARK12M    -5115324.43100   477843.30200 -3767192.84400 AZEL   0.00000                          
WETTZ13N    4075627.62000   931774.31100  4801552.37900 AZEL   0.00000                          
WETTZELL    4075539.63200   931735.53700  4801629.52900 AZEL   0.00000                          
YARRA12M   -2388896.12900  5043349.99400 -3078590.86000 AZEL   0.00000                          
$END                                                                                            
0008-264   0 11     1.246738 -26 12    33.377020                                                
0016+731   0 19    45.786419  73 27    30.017440                                                
0017+200   0 19    37.854502  20 21    45.644580                                                
0019+058   0 22    32.441209   6  8     4.269080                                                
0048-097   0 50    41.317388 - 9 29     5.210270                                                
0059+581   1  2    45.762382  58 24    11.136600                                                
0104-408   1  6    45.107969 -40 34    19.960230                                                
0115-214   1 17    48.780136 -21 11     6.633120                                                
0119+041   1 21    56.861699   4 22    24.734330                                                
0131-522   1 33     5.762556 -52  0     3.945720                                                
0134+311   1 37     8.733630  31 22    35.855360                                                
0229+131   2 31    45.894054  13 22    54.716270                                                
0256-005   2 59    28.516160 - 0 19    59.975320                                                
0300+470   3  3    35.242223  47 16    16.275440                                                
0308-611   3  9    56.099154 -60 58    39.056150                                                
0322+222   3 25    36.814352  22 24     0.365590                                                
0332-403   3 34    13.654514 -40  8    25.397840                                                
0340+362   3 43    28.952410  36 22    12.429680                                                
0403-132   4  5    34.003390 -13  8    13.690710                                                
0422+004   4 24    46.842061   0 36     6.329370                                                
0430+289   4 33    37.829860  29  5    55.477030                                                
0446+112   4 49     7.671101  11 21    28.596460                                                
0454-234   4 57     3.179229 -23 24    52.020140                                                
0524+034   5 27    32.705448   3 31    31.516640                                                
0529+483   5 33    15.865783  48 22    52.807660                                                
0530-727   5 29    30.042180 -72 45    28.507260                                                
0544+273   5 47    34.148921  27 21    56.842570                                                
0549-575   5 50     9.580183 -57 32    24.396530                                                
0602+673   6  7    52.671611  67 20    55.410040                                                
0606-223   6  8    59.686844 -22 20    20.956650                                                
0641+392   6 44    53.709599  39 14    47.533920                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
0700-197   7  2    42.900669 -19 51    22.035480                                                
0723+219   7 26    14.260738  21 53    20.114080                                                
0743-006   7 45    54.082321 - 0 44    17.539850                                                
0814+425   8 18    15.999605  42 22    45.414910                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
0943+105   9 46    35.069951  10 17     6.134420                                                
0951+268   9 54    39.796529  26 39    24.543450                                                
0955+476   9 58    19.671639  47 25     7.842430                                                
1027-186  10 29    33.097707 -18 52    50.289010                                                
1057-797  10 58    43.309755 -80  3    54.159740                                                
1101+384  11  4    27.313941  38 12    31.799060                                                
1104-445  11  7     8.694127 -44 49     7.618460                                                
1123+264  11 25    53.711923  26 10    19.978680                                                
1149-084  11 52    17.209515 - 8 41     3.313880                                                
1212+171  12 15     3.979139  16 54    37.956850                                                
1219+044  12 22    22.549621   4 13    15.776180                                                
1221+809  12 23    40.493739  80 40     4.340440                                                
1255-177  12 58    38.301702 -18  0     3.124410                                                
1313-333  13 16     7.985940 -33 38    59.172510                                                
1327+504  13 29     5.802712  50  9    26.400950                                                
1342+662  13 43    45.959571  66  2    25.745100                                                
1406-076  14  8    56.481200 - 7 52    26.666420                                                
1406-267  14  9    50.169789 -26 57    36.980140                                                
1424-418  14 27    56.297565 -42  6    19.437600                                                
1504+377  15  6     9.529968  37 30    51.132500                                                
1519-273  15 22    37.675989 -27 30    10.785420                                                
1623+578  16 24    24.807567  57 41    16.280930                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1639-062  16 42     2.177717 - 6 21    23.694970                                                
1651+391  16 52    58.509582  39  2    49.822240                                                
1657-261  17  0    53.154061 -26 10    51.725350                                                
1741-038  17 43    58.856134 - 3 50     4.616650                                                
1749+096  17 51    32.818573   9 39     0.728480                                                
1751+288  17 53    42.473644  28 48     4.938880                                                
1758-651  18  3    23.496667 -65  7    36.761210                                                
1759-396  18  2    42.680059 -39 40     7.908130                                                
1806+456  18  8    21.885888  45 42    20.866450                                                
1823+689  18 23    32.853903  68 57    52.612590                                                
1923+210  19 25    59.605356  21  6    26.162030                                                
1936-155  19 39    26.657747 -15 25    43.058420                                                
1954-388  19 57    59.819275 -38 45     6.355760                                                
2013+163  20 16    13.860035  16 32    34.113030                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
2141+175  21 43    35.544565  17 43    48.787610                                                
2208-137  22 11    24.099454 -13 28     9.723890                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2318+049  23 20    44.856598   5 13    49.952560                                                
2319+317  23 21    54.955991  32  4     7.622540                                                
2355-106  23 58    10.882408 -10 20     8.611320                                                
3C418     20 38    37.034735  51 19    12.662590                                                
3C454.3   22 53    57.747938  16  8    53.560930                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
$END                                                                                            
    8.2209900000e+03           GR PH                                                            
$END                                                                                            
BADARY    HART15M   OJ287    2019 02 14 18 30  30.0000000000                 101                
    6441302.00833128   0.00259 -1371635.6973458806   0.00527 0      I        102                
   0.00369    .00000    .00000    .00000   0.402957445059655       0.0       103                
  0.059   1.931 -0.0020  0.0075  0.0010  0.0151    -422461.170               104
   0.00000   0.00000    .00000    .00000    .00000    .00000                 105                
   -19.817    16.800   931.100   866.400    45.487    88.700 0 0             106                
        0.1086555213   0.00200        0.0310808698   0.00237  0              108                
BADARY    KATH12M   OJ287    2019 02 14 18 30  30.0000000000                 201                
    8388528.86498579   0.00400   769566.5377977303   0.00815 0      I        202                
   0.00238    .00000    .00000    .00000   1.917395024759913       0.0       203                
  0.059   2.354 -0.0020  0.0074  0.0010  0.0398    -408301.934               204
   0.00000   0.00000    .00000    .00000    .00000    .00000                 205                
   -19.817    26.156   931.100   993.461    45.487    75.337 0 0             206                
        3.4903640688   0.00320        0.0041442519   0.00385  0              208                
BADARY    NYALES20  OJ287    2019 02 14 18 30  30.0000000000                 301                
    6980282.06203445   0.00159  -700124.8888217226   0.00323 0      I        302                
   0.00601    .00000    .00000    .00000   4.243324287060162       0.0       303                
  0.059  -0.054 -0.0020 -0.0127  0.0010  0.0007    -722060.298               304
   0.00000  -0.01597    .00000    .00000    .00000    .00000                 305                
   -19.817    -9.750   931.100   988.000    45.487    70.094 0 0             306                
        3.6080277603   0.00143       -0.0128247624   0.00177  0              308                
BADARY    YARRA12M  OJ287    2019 02 14 18 30  30.0000000000                 401                
    7016000.41700850   0.00454   420518.3445394579   0.00926 0      I        402                
   0.00210    .00000    .00000    .00000   2.700558529686676       0.0       403                
  0.059   0.796 -0.0020  0.0128  0.0010  0.0104    -412908.543               404
   0.00000   0.00000    .00000    .00000    .00000    .00000                 405                
   -19.817    17.200   931.100   983.600    45.487    50.000 0 0             406                
        7.4199514815   0.00317        0.0013020778   0.00363  0              408                
HART15M   KATH12M   OJ287    2019 02 14 18 30  30.0000000000                 501                
    1947212.60156421   0.00884  2141205.2219263096   0.01274 0      I        502                
   0.00091    .00000    .00000    .00000   4.478652386256141       0.0       503                
  1.931   2.354  0.0075  0.0074  0.0151  0.0398      14159.236               504
   0.00000   0.00000    .00000    .00000    .00000    .00000                 505                
    16.800    26.156   866.400   993.461    88.700    75.337 0 0             506                
        3.3853172144   0.00756       -0.0314310287   0.00654  0              508                
HART15M   NYALES20  OJ287    2019 02 14 18 30  30.0000000000                 601                
     538975.58880192   0.00462   671512.1095830987   0.00941 0      I        602                
   0.00206    .00000    .00000    .00000   5.619363110705345       0.0       603                
  1.931  -0.054  0.0075 -0.0127  0.0151  0.0007    -299599.128               604
   0.00000  -0.01597    .00000    .00000    .00000    .00000                 605                
    16.800    -9.750   866.400   988.000    88.700    70.094 0 0             606                
        3.5057919825   0.00362       -0.0466049115   0.00432  0              608                
HART15M   YARRA12M  OJ287    2019 02 14 18 30  30.0000000000                 701                
     574686.49668517   0.01289  1792156.4902436091   0.02626 0      I        702                
   0.00074    .00000    .00000    .00000   2.100541012398826       0.0       703                
  1.931   0.796  0.0075  0.0128  0.0151  0.0104       9552.627               704
   0.00000   0.00000    .00000    .00000    .00000    .00000                 705                
    16.800    17.200   866.400   983.600    88.700    50.000 0 0             706                
        7.3102028816   0.00859       -0.0393658131   0.00960  0              708                
KATH12M   NYALES20  OJ287    2019 02 14 18 30  30.0000000000                 801                
   -1408234.18395130   0.01034 -1469689.9411479931   0.02107 0      I        802                
   0.00092    .00000    .00000    .00000   1.137448352113857       0.0       803                
  2.354  -0.054  0.0074 -0.0127  0.0398  0.0007    -313758.365               804
   0.00000  -0.01597    .00000    .00000    .00000    .00000                 805                
